"width","height","time"
"32","32","4166800"
"64","64","924300"
"128","128","2281310"
"256","256","4871725"
"512","512","15968745"
"1024","1024","62826895"
"2048","2048","246135985"
"4096","4096","1213137515"
"8192","8192","4749877075"
