"width","height","time"
"32","32","3890950"
"64","64","2248000"
"128","128","1513030"
"256","256","4236075"
"512","512","14476000"
"1024","1024","53818805"
"2048","2048","212862710"
"4096","4096","882643660"
"8192","8192","3413891020"
