"width","height","time"
"32","32","3261440"
"64","64","746980"
"128","128","946365"
"256","256","3789555"
"512","512","12748960"
"1024","1024","50200465"
"2048","2048","202029490"
"4096","4096","862284040"
"8192","8192","3435015225"
