"width","height","time"
"32","32","3886510"
"64","64","1408255"
"128","128","2713970"
"256","256","7255755"
"512","512","26358435"
"1024","1024","111392790"
"2048","2048","488755195"
"4096","4096","2604965120"
"8192","8192","12153435780"
