"width","height","time"
"32","32","4187045"
"64","64","872940"
"128","128","1829970"
"256","256","4397265"
"512","512","14322145"
"1024","1024","56196860"
"2048","2048","226241330"
"4096","4096","877299730"
"8192","8192","3851078060"
