"width","height","time"
"32","32","2497805"
"64","64","1332485"
"128","128","3515420"
"256","256","13678475"
"512","512","55009320"
"1024","1024","216296520"
"2048","2048","864861985"
"4096","4096","3498481315"
"8192","8192","14080563425"
