"width","height","time"
"32","32","4051160"
"64","64","1241945"
"128","128","2412015"
"256","256","6170170"
"512","512","20726620"
"1024","1024","77910415"
"2048","2048","315036130"
"4096","4096","1632067330"
"8192","8192","6691757085"
