"width","height","time"
"32","32","3629645"
"64","64","1086755"
"128","128","2273890"
"256","256","7352665"
"512","512","28077785"
"1024","1024","112086430"
"2048","2048","443699350"
"4096","4096","2582676505"
"8192","8192","11518035105"
