"width","height","time"
"32","32","2927090"
"64","64","1424115"
"128","128","3313545"
"256","256","6955710"
"512","512","17465175"
"1024","1024","53866330"
"2048","2048","214160695"
"4096","4096","954328670"
"8192","8192","3107160380"
