"width","height","time"
"32","32","2999865"
"64","64","1315280"
"128","128","4575540"
"256","256","11286965"
"512","512","26964695"
"1024","1024","72462955"
"2048","2048","206255055"
"4096","4096","743918025"
"8192","8192","2994495245"
