"width","height","time"
"32","32","3692305"
"64","64","533965"
"128","128","1282995"
"256","256","3948310"
"512","512","14522045"
"1024","1024","58615945"
"2048","2048","232255305"
"4096","4096","967312455"
"8192","8192","4640093365"
